top_k,ratio,combination,code,layers,n_layers,accuracy,matches,predicted,matched_countries
20,10:1,移住のみ,M,migration,1,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住のみ,M,migration,1,0.9333333333333333,28,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN', 'TUR', 'KAZ', 'SGP', 'CHE', 'KWT', 'ARG', 'THA', 'ISR', 'NLD', 'BEL']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+外交,MD,migration+diplomacy,2,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+外交,MD,migration+diplomacy,2,0.9333333333333333,28,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'CIV', 'JPN', 'TUR', 'SGP', 'KAZ', 'CHE', 'ARG', 'KWT', 'THA', 'BEL', 'ISR', 'NLD']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+航空,MA,migration+aviation,2,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'JOR', 'HKG', 'IRN', 'MYS', 'JPN', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+航空,MA,migration+aviation,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'JOR', 'HKG', 'IRN', 'MYS', 'JPN', 'CIV', 'TUR', 'SGP', 'CHE', 'KAZ', 'THA', 'KWT', 'NLD', 'ARG', 'ISR', 'BEL']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+貿易,MT,migration+trade,2,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+貿易,MT,migration+trade,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'GBR', 'AUS', 'ESP', 'UKR', 'ARE', 'ITA', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV', 'SGP', 'TUR', 'NLD', 'CHE', 'CHN', 'KAZ', 'THA', 'BEL', 'ARG', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'UKR', 'ITA', 'ARE', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'JPN', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'UKR', 'ITA', 'ARE', 'PAK', 'JOR', 'IRN', 'MYS', 'HKG', 'JPN', 'CIV', 'TUR', 'SGP', 'CHE', 'THA', 'KAZ', 'NLD', 'BEL', 'ARG', 'KWT', 'ISR']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ITA', 'ARE', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'UKR', 'ITA', 'ARE', 'PAK', 'HKG', 'JOR', 'JPN', 'IRN', 'MYS', 'CIV', 'TUR', 'SGP', 'NLD', 'CHN', 'CHE', 'BEL', 'THA', 'KAZ', 'ARG', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,移住+航空+貿易,MAT,migration+aviation+trade,3,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'HKG', 'JPN', 'JOR', 'MYS', 'IRN', 'CHN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,移住+航空+貿易,MAT,migration+aviation+trade,3,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'HKG', 'JPN', 'JOR', 'MYS', 'IRN', 'CHN', 'TUR', 'CIV', 'SGP', 'NLD', 'CHE', 'THA', 'BEL', 'KAZ', 'ARG', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,10:1,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JPN', 'HKG', 'JOR', 'MYS', 'IRN', 'CHN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,10:1,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'ESP', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JPN', 'HKG', 'JOR', 'MYS', 'IRN', 'CHN', 'TUR', 'NLD', 'CIV', 'SGP', 'CHE', 'BEL', 'THA', 'KAZ', 'ARG', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住のみ,M,migration,1,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,5:1,移住のみ,M,migration,1,0.9333333333333333,28,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN', 'TUR', 'KAZ', 'SGP', 'CHE', 'KWT', 'ARG', 'THA', 'ISR', 'NLD', 'BEL']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+外交,MD,migration+diplomacy,2,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'JPN', 'HKG', 'CIV']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,5:1,移住+外交,MD,migration+diplomacy,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'MYS', 'JPN', 'HKG', 'CIV', 'TUR', 'BEL', 'CHE', 'SGP', 'KAZ', 'ARG', 'KWT', 'THA', 'ISR', 'NLD']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+航空,MA,migration+aviation,2,0.95,19,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'GBR', 'CAN', 'ESP', 'IND', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JOR', 'HKG', 'MYS', 'IRN', 'JPN', 'TUR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
30,5:1,移住+航空,MA,migration+aviation,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'GBR', 'CAN', 'ESP', 'IND', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JOR', 'HKG', 'MYS', 'IRN', 'JPN', 'TUR', 'CIV', 'SGP', 'CHE', 'THA', 'CHN', 'NLD', 'KAZ', 'GRC', 'KWT', 'BEL']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+貿易,MT,migration+trade,2,0.9,18,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'ITA', 'UKR', 'ARE', 'HKG', 'PAK', 'JPN', 'CHN', 'JOR', 'MYS', 'IRN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,5:1,移住+貿易,MT,migration+trade,2,0.9333333333333333,28,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'ITA', 'UKR', 'ARE', 'HKG', 'PAK', 'JPN', 'CHN', 'JOR', 'MYS', 'IRN', 'NLD', 'SGP', 'CIV', 'TUR', 'CHE', 'BEL', 'THA', 'KAZ', 'ARG', 'KWT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'KWT', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.95,19,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'GBR', 'CAN', 'ESP', 'IND', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JOR', 'JPN', 'MYS', 'IRN', 'TUR', 'HKG']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
30,5:1,移住+外交+航空,MDA,migration+diplomacy+aviation,3,0.9,27,"['USA', 'RUS', 'DEU', 'SAU', 'FRA', 'GBR', 'CAN', 'ESP', 'IND', 'AUS', 'ITA', 'ARE', 'UKR', 'PAK', 'JOR', 'JPN', 'MYS', 'IRN', 'TUR', 'HKG', 'CHN', 'CIV', 'CHE', 'BEL', 'SGP', 'NLD', 'THA', 'GRC', 'KAZ', 'ARG']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.9,18,"['USA', 'RUS', 'DEU', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'ITA', 'UKR', 'ARE', 'JPN', 'PAK', 'HKG', 'CHN', 'JOR', 'MYS', 'IRN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,5:1,移住+外交+貿易,MDT,migration+diplomacy+trade,3,0.9,27,"['USA', 'RUS', 'DEU', 'FRA', 'SAU', 'CAN', 'GBR', 'IND', 'AUS', 'ESP', 'ITA', 'UKR', 'ARE', 'JPN', 'PAK', 'HKG', 'CHN', 'JOR', 'MYS', 'IRN', 'NLD', 'BEL', 'SGP', 'TUR', 'CHE', 'CIV', 'THA', 'ARG', 'KAZ', 'AUT']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'KAZ', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,移住+航空+貿易,MAT,migration+aviation+trade,3,0.9,18,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'SAU', 'CAN', 'ESP', 'IND', 'ITA', 'AUS', 'ARE', 'UKR', 'JPN', 'CHN', 'HKG', 'PAK', 'NLD', 'MYS', 'JOR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
30,5:1,移住+航空+貿易,MAT,migration+aviation+trade,3,0.8666666666666667,26,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'SAU', 'CAN', 'ESP', 'IND', 'ITA', 'AUS', 'ARE', 'UKR', 'JPN', 'CHN', 'HKG', 'PAK', 'NLD', 'MYS', 'JOR', 'TUR', 'SGP', 'IRN', 'CHE', 'BEL', 'THA', 'CIV', 'MEX', 'KOR', 'GRC']","['ARE', 'AUS', 'BEL', 'CAN', 'CHE', 'CIV', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'IRN', 'ITA', 'JOR', 'JPN', 'MYS', 'NLD', 'PAK', 'RUS', 'SAU', 'SGP', 'THA', 'TUR', 'UKR', 'USA']"
20,5:1,全レイヤー,ALL,migration+diplomacy+aviation+trade,4,0.9,18,"['USA', 'DEU', 'RUS', 'FRA', 'GBR', 'SAU', 'CAN', 'ESP', 'IND', 'ITA', 'AUS', 'ARE', 'UKR', 'CHN', 'JPN', 'PAK', 'HKG', 'NLD', 'MYS', 'TUR']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'TUR', 'UKR', 'USA']"
